motif	tf	dbd_family
TBX15_MA0803.1	TBX15	NAN
TBX19_MA0804.1	TBX19	NAN
TBX1_MA0805.1	TBX1	NAN
TBX4_MA0806.1	TBX4	NAN
TBX5_MA0807.1	TBX5	NAN
TEAD3_MA0808.1	TEAD3	NAN
TEAD4_MA0809.1	TEAD4	NAN
TFAP2A_MA0810.1	TFAP2A	NAN
TFAP2A_MA0003.3	TFAP2A	NAN
TFAP2B_MA0811.1	TFAP2B	NAN
TFAP2B_MA0812.1	TFAP2B	NAN
TFAP2B_MA0813.1	TFAP2B	NAN
TFAP2C_MA0524.2	TFAP2C	NAN
TFAP2C_MA0814.1	TFAP2C	NAN
TFAP2C_MA0815.1	TFAP2C	NAN
Ascl2_MA0816.1	Ascl2	NAN
Atoh1_MA0461.2	Atoh1	NAN
BHLHE40_MA0464.2	BHLHE40	NAN
BHLHE23_MA0817.1	BHLHE23	NAN
BHLHE22_MA0818.1	BHLHE22	NAN
CLOCK_MA0819.1	CLOCK	NAN
FIGLA_MA0820.1	FIGLA	NAN
HES5_MA0821.1	HES5	NAN
HES7_MA0822.1	HES7	NAN
HEY1_MA0823.1	HEY1	NAN
ID4_MA0824.1	ID4	NAN
MAX_MA0058.3	MAX	NAN
MNT_MA0825.1	MNT	NAN
OLIG1_MA0826.1	OLIG1	NAN
OLIG3_MA0827.1	OLIG3	NAN
SREBF2_MA0828.1	SREBF2	NAN
Srebf1_MA0829.1	Srebf1	NAN
TCF3_MA0522.2	TCF3	NAN
TCF4_MA0830.1	TCF4	NAN
Tcf21_MA0832.1	Tcf21	NAN
ATF4_MA0833.1	ATF4	NAN
ATF7_MA0834.1	ATF7	NAN
BATF3_MA0835.1	BATF3	NAN
CEBPB_MA0466.2	CEBPB	NAN
CEBPD_MA0836.1	CEBPD	NAN
CEBPE_MA0837.1	CEBPE	NAN
CEBPG_MA0838.1	CEBPG	NAN
CREB3L1_MA0839.1	CREB3L1	NAN
Creb5_MA0840.1	Creb5	NAN
Mafb_MA0117.2	Mafb	NAN
NFE2_MA0841.1	NFE2	NAN
NRL_MA0842.1	NRL	NAN
TEF_MA0843.1	TEF	NAN
XBP1_MA0844.1	XBP1	NAN
FOXB1_MA0845.1	FOXB1	NAN
FOXC1_MA0032.2	FOXC1	NAN
FOXC2_MA0846.1	FOXC2	NAN
FOXD2_MA0847.1	FOXD2	NAN
FOXO4_MA0848.1	FOXO4	NAN
FOXO6_MA0849.1	FOXO6	NAN
FOXP3_MA0850.1	FOXP3	NAN
Foxj3_MA0851.1	Foxj3	NAN
Alx4_MA0853.1	Alx4	NAN
Alx1_MA0854.1	Alx1	NAN
RXRB_MA0855.1	RXRB	NAN
RXRG_MA0856.1	RXRG	NAN
Rarb_MA0857.1	Rarb	NAN
Rarb_MA0858.1	Rarb	NAN
Rarg_MA0859.1	Rarg	NAN
Rarg_MA0860.1	Rarg	NAN
TP63_MA0525.2	TP63	NAN
TP53_MA0106.3	TP53	NAN
TP73_MA0861.1	TP73	NAN
GMEB2_MA0862.1	GMEB2	NAN
MTF1_MA0863.1	MTF1	NAN
E2F1_MA0024.3	E2F1	NAN
E2F2_MA0864.1	E2F2	NAN
E2F8_MA0865.1	E2F8	NAN
SOX21_MA0866.1	SOX21	NAN
SOX4_MA0867.1	SOX4	NAN
SOX8_MA0868.1	SOX8	NAN
Sox11_MA0869.1	Sox11	NAN
Sox1_MA0870.1	Sox1	NAN
TFEC_MA0871.1	TFEC	NAN
TFAP2A_MA0872.1	TFAP2A	NAN
ELK1_MA0028.2	ELK1	NAN
HOXD12_MA0873.1	HOXD12	NAN
Arx_MA0874.1	Arx	NAN
BARX1_MA0875.1	BARX1	NAN
BSX_MA0876.1	BSX	NAN
Barhl1_MA0877.1	Barhl1	NAN
CDX1_MA0878.1	CDX1	NAN
Dlx1_MA0879.1	Dlx1	NAN
Dlx3_MA0880.1	Dlx3	NAN
Dlx4_MA0881.1	Dlx4	NAN
DLX6_MA0882.1	DLX6	NAN
Dmbx1_MA0883.1	Dmbx1	NAN
DUXA_MA0884.1	DUXA	NAN
Dlx2_MA0885.1	Dlx2	NAN
EMX2_MA0886.1	EMX2	NAN
EVX1_MA0887.1	EVX1	NAN
EVX2_MA0888.1	EVX2	NAN
GBX1_MA0889.1	GBX1	NAN
GBX2_MA0890.1	GBX2	NAN
GSC2_MA0891.1	GSC2	NAN
GSX1_MA0892.1	GSX1	NAN
GSX2_MA0893.1	GSX2	NAN
HESX1_MA0894.1	HESX1	NAN
HMBOX1_MA0895.1	HMBOX1	NAN
Hmx1_MA0896.1	Hmx1	NAN
Hmx2_MA0897.1	Hmx2	NAN
Hmx3_MA0898.1	Hmx3	NAN
HOXA10_MA0899.1	HOXA10	NAN
HOXA2_MA0900.1	HOXA2	NAN
HOXB13_MA0901.1	HOXB13	NAN
HOXB2_MA0902.1	HOXB2	NAN
HOXB3_MA0903.1	HOXB3	NAN
Hoxb5_MA0904.1	Hoxb5	NAN
HOXC10_MA0905.1	HOXC10	NAN
HOXC12_MA0906.1	HOXC12	NAN
HOXC13_MA0907.1	HOXC13	NAN
HOXD11_MA0908.1	HOXD11	NAN
HOXD13_MA0909.1	HOXD13	NAN
Hoxd8_MA0910.1	Hoxd8	NAN
Hoxa11_MA0911.1	Hoxa11	NAN
Hoxd3_MA0912.1	Hoxd3	NAN
Hoxd9_MA0913.1	Hoxd9	NAN
ISL2_MA0914.1	ISL2	NAN
ASCL1_MA1100.1	ASCL1	NAN
BACH2_MA1101.1	BACH2	NAN
CREB1_MA0018.3	CREB1	NAN
CTCFL_MA1102.1	CTCFL	NAN
FOXK1_MA0852.2	FOXK1	NAN
FOXK2_MA1103.1	FOXK2	NAN
FOXP1_MA0481.2	FOXP1	NAN
GATA2_MA0036.3	GATA2	NAN
GATA6_MA1104.1	GATA6	NAN
GRHL2_MA1105.1	GRHL2	NAN
HIF1A_MA1106.1	HIF1A	NAN
KLF4_MA0039.3	KLF4	NAN
KLF9_MA1107.1	KLF9	NAN
MAFF_MA0495.2	MAFF	NAN
MAFK_MA0496.2	MAFK	NAN
MITF_MA0620.2	MITF	NAN
MXI1_MA1108.1	MXI1	NAN
MYC_MA0147.3	MYC	NAN
MYB_MA0100.3	MYB	NAN
MYCN_MA0104.4	MYCN	NAN
NEUROD1_MA1109.1	NEUROD1	NAN
NFIC_MA0161.2	NFIC	NAN
NFYA_MA0060.3	NFYA	NAN
NR1H4_MA1110.1	NR1H4	NAN
NR2F2_MA1111.1	NR2F2	NAN
NR4A1_MA1112.1	NR4A1	NAN
